"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - Drug/Alcohol Induced"	"MCD - Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Drug-induced causes"	"D"	195	4430141	4.4
	"Alabama"	"01"	"1999"	"1999"	"Alcohol-induced causes"	"A"	10	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	191	4430141	4.3
	"Alabama"	"01"	"2000"	"2000"	"Drug-induced causes"	"D"	232	4447100	5.2
	"Alabama"	"01"	"2000"	"2000"	"Alcohol-induced causes"	"A"	14	4447100	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	218	4447100	4.9
	"Alabama"	"01"	"2001"	"2001"	"Drug-induced causes"	"D"	253	4467634	5.7
	"Alabama"	"01"	"2001"	"2001"	"Alcohol-induced causes"	"A"	24	4467634	0.5
	"Alabama"	"01"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	245	4467634	5.5
	"Alabama"	"01"	"2002"	"2002"	"Drug-induced causes"	"D"	248	4480089	5.5
	"Alabama"	"01"	"2002"	"2002"	"Alcohol-induced causes"	"A"	20	4480089	0.4
	"Alabama"	"01"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	234	4480089	5.2
	"Alabama"	"01"	"2003"	"2003"	"Drug-induced causes"	"D"	255	4503491	5.7
	"Alabama"	"01"	"2003"	"2003"	"Alcohol-induced causes"	"A"	17	4503491	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	233	4503491	5.2
	"Alabama"	"01"	"2004"	"2004"	"Drug-induced causes"	"D"	327	4530729	7.2
	"Alabama"	"01"	"2004"	"2004"	"Alcohol-induced causes"	"A"	23	4530729	0.5
	"Alabama"	"01"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	318	4530729	7.0
	"Alabama"	"01"	"2005"	"2005"	"Drug-induced causes"	"D"	332	4569805	7.3
	"Alabama"	"01"	"2005"	"2005"	"Alcohol-induced causes"	"A"	23	4569805	0.5
	"Alabama"	"01"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	322	4569805	7.0
	"Alabama"	"01"	"2006"	"2006"	"Drug-induced causes"	"D"	466	4628981	10.1
	"Alabama"	"01"	"2006"	"2006"	"Alcohol-induced causes"	"A"	33	4628981	0.7
	"Alabama"	"01"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	447	4628981	9.7
	"Alabama"	"01"	"2007"	"2007"	"Drug-induced causes"	"D"	554	4672840	11.9
	"Alabama"	"01"	"2007"	"2007"	"Alcohol-induced causes"	"A"	36	4672840	0.8
	"Alabama"	"01"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	537	4672840	11.5
	"Alabama"	"01"	"2008"	"2008"	"Drug-induced causes"	"D"	646	4718206	13.7
	"Alabama"	"01"	"2008"	"2008"	"Alcohol-induced causes"	"A"	39	4718206	0.8
	"Alabama"	"01"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	637	4718206	13.5
	"Alabama"	"01"	"2009"	"2009"	"Drug-induced causes"	"D"	688	4757938	14.5
	"Alabama"	"01"	"2009"	"2009"	"Alcohol-induced causes"	"A"	48	4757938	1.0
	"Alabama"	"01"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	665	4757938	14.0
	"Alabama"	"01"	"2010"	"2010"	"Drug-induced causes"	"D"	585	4779736	12.2
	"Alabama"	"01"	"2010"	"2010"	"Alcohol-induced causes"	"A"	38	4779736	0.8
	"Alabama"	"01"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	571	4779736	11.9
	"Alabama"	"01"	"2011"	"2011"	"Drug-induced causes"	"D"	605	4802740	12.6
	"Alabama"	"01"	"2011"	"2011"	"Alcohol-induced causes"	"A"	48	4802740	1.0
	"Alabama"	"01"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	573	4802740	11.9
	"Alabama"	"01"	"2012"	"2012"	"Drug-induced causes"	"D"	632	4822023	13.1
	"Alabama"	"01"	"2012"	"2012"	"Alcohol-induced causes"	"A"	34	4822023	0.7
	"Alabama"	"01"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	594	4822023	12.3
	"Alabama"	"01"	"2013"	"2013"	"Drug-induced causes"	"D"	648	4833722	13.4
	"Alabama"	"01"	"2013"	"2013"	"Alcohol-induced causes"	"A"	43	4833722	0.9
	"Alabama"	"01"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	620	4833722	12.8
	"Alabama"	"01"	"2014"	"2014"	"Drug-induced causes"	"D"	800	4849377	16.5
	"Alabama"	"01"	"2014"	"2014"	"Alcohol-induced causes"	"A"	65	4849377	1.3
	"Alabama"	"01"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	775	4849377	16.0
	"Alabama"	"01"	"2015"	"2015"	"Drug-induced causes"	"D"	810	4858979	16.7
	"Alabama"	"01"	"2015"	"2015"	"Alcohol-induced causes"	"A"	72	4858979	1.5
	"Alabama"	"01"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	788	4858979	16.2
	"Alabama"	"01"	"2016"	"2016"	"Drug-induced causes"	"D"	855	4863300	17.6
	"Alabama"	"01"	"2016"	"2016"	"Alcohol-induced causes"	"A"	50	4863300	1.0
	"Alabama"	"01"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	798	4863300	16.4
	"Alabama"	"01"	"2017"	"2017"	"Drug-induced causes"	"D"	960	4874747	19.7
	"Alabama"	"01"	"2017"	"2017"	"Alcohol-induced causes"	"A"	73	4874747	1.5
	"Alabama"	"01"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	893	4874747	18.3
	"Alabama"	"01"	"2018"	"2018"	"Drug-induced causes"	"D"	895	4887871	18.3
	"Alabama"	"01"	"2018"	"2018"	"Alcohol-induced causes"	"A"	75	4887871	1.5
	"Alabama"	"01"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	833	4887871	17.0
	"Alabama"	"01"	"2019"	"2019"	"Drug-induced causes"	"D"	906	4903185	18.5
	"Alabama"	"01"	"2019"	"2019"	"Alcohol-induced causes"	"A"	78	4903185	1.6
	"Alabama"	"01"	"2019"	"2019"	"All other non-drug and non-alcohol causes"	"O"	836	4903185	17.1
	"Alaska"	"02"	"1999"	"1999"	"Drug-induced causes"	"D"	56	624779	9.0
	"Alaska"	"02"	"1999"	"1999"	"Alcohol-induced causes"	"A"	13	624779	Unreliable
	"Alaska"	"02"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	53	624779	8.5
	"Alaska"	"02"	"2000"	"2000"	"Drug-induced causes"	"D"	54	626932	8.6
	"Alaska"	"02"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	54	626932	8.6
	"Alaska"	"02"	"2001"	"2001"	"Drug-induced causes"	"D"	72	633714	11.4
	"Alaska"	"02"	"2001"	"2001"	"Alcohol-induced causes"	"A"	17	633714	Unreliable
	"Alaska"	"02"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	69	633714	10.9
	"Alaska"	"02"	"2002"	"2002"	"Drug-induced causes"	"D"	85	642337	13.2
	"Alaska"	"02"	"2002"	"2002"	"Alcohol-induced causes"	"A"	18	642337	Unreliable
	"Alaska"	"02"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	85	642337	13.2
	"Alaska"	"02"	"2003"	"2003"	"Drug-induced causes"	"D"	86	648414	13.3
	"Alaska"	"02"	"2003"	"2003"	"Alcohol-induced causes"	"A"	16	648414	Unreliable
	"Alaska"	"02"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	86	648414	13.3
	"Alaska"	"02"	"2004"	"2004"	"Drug-induced causes"	"D"	92	659286	14.0
	"Alaska"	"02"	"2004"	"2004"	"Alcohol-induced causes"	"A"	14	659286	Unreliable
	"Alaska"	"02"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	91	659286	13.8
	"Alaska"	"02"	"2005"	"2005"	"Drug-induced causes"	"D"	85	666946	12.7
	"Alaska"	"02"	"2005"	"2005"	"Alcohol-induced causes"	"A"	11	666946	Unreliable
	"Alaska"	"02"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	85	666946	12.7
	"Alaska"	"02"	"2006"	"2006"	"Drug-induced causes"	"D"	85	675302	12.6
	"Alaska"	"02"	"2006"	"2006"	"Alcohol-induced causes"	"A"	13	675302	Unreliable
	"Alaska"	"02"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	85	675302	12.6
	"Alaska"	"02"	"2007"	"2007"	"Drug-induced causes"	"D"	75	680300	11.0
	"Alaska"	"02"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	73	680300	10.7
	"Alaska"	"02"	"2008"	"2008"	"Drug-induced causes"	"D"	132	687455	19.2
	"Alaska"	"02"	"2008"	"2008"	"Alcohol-induced causes"	"A"	50	687455	7.3
	"Alaska"	"02"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	130	687455	18.9
	"Alaska"	"02"	"2009"	"2009"	"Drug-induced causes"	"D"	133	698895	19.0
	"Alaska"	"02"	"2009"	"2009"	"Alcohol-induced causes"	"A"	36	698895	5.2
	"Alaska"	"02"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	132	698895	18.9
	"Alaska"	"02"	"2010"	"2010"	"Drug-induced causes"	"D"	84	710231	11.8
	"Alaska"	"02"	"2010"	"2010"	"Alcohol-induced causes"	"A"	11	710231	Unreliable
	"Alaska"	"02"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	84	710231	11.8
	"Alaska"	"02"	"2011"	"2011"	"Drug-induced causes"	"D"	107	722718	14.8
	"Alaska"	"02"	"2011"	"2011"	"Alcohol-induced causes"	"A"	28	722718	3.9
	"Alaska"	"02"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	107	722718	14.8
	"Alaska"	"02"	"2012"	"2012"	"Drug-induced causes"	"D"	132	731449	18.0
	"Alaska"	"02"	"2012"	"2012"	"Alcohol-induced causes"	"A"	39	731449	5.3
	"Alaska"	"02"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	132	731449	18.0
	"Alaska"	"02"	"2013"	"2013"	"Drug-induced causes"	"D"	110	735132	15.0
	"Alaska"	"02"	"2013"	"2013"	"Alcohol-induced causes"	"A"	30	735132	4.1
	"Alaska"	"02"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	109	735132	14.8
	"Alaska"	"02"	"2014"	"2014"	"Drug-induced causes"	"D"	127	736732	17.2
	"Alaska"	"02"	"2014"	"2014"	"Alcohol-induced causes"	"A"	43	736732	5.8
	"Alaska"	"02"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	127	736732	17.2
