"","Year","Total_Deaths","Total_Deaths_F","Total_Deaths_M","Opioids","Opioids_F","Opioids_M","P_Opioids","P_Opioids_F","P_Opiods_M","P_Opioids_AND","P_Opioids_AND_F","P_Opioids_AND_M","P_Opioids_NO","P_Opioids_NO_F","P_Opioids_NO_M","S_Opioids","S_Opioids_F","S_Opioids_M","Heroin","Heroin_F","Heroin_M","Heroin_AND","Heroin_AND_F","Heroin_AND_M","Heroin_NO","Heroin_NO_F","Heroin_NO_M","Cocaine","Cocaine_F","Cocaine_M","Cocaine_AND_O","Cocaine_AND_O_F","Cocaine_AND_O_M","Cocaine_NO_O","Cocaine_NO_O_F","Cocaine_NO_O_M","Cocaine_AND_SO","Cocaine_AND_SO_F","Cocaine_AND_SO_M","Cocaine_NO_SO","Cocaine_NO_SO_F","Cocaine_NO_SO_M","Psych","Psych_F","Psych_M","Psych_AND_O","Psych_AND_O_F","Psych_AND_O_M","Psych_NO_O","Psych_NO_O_F","Psych_NO_O_M","Psych_AND_SO","Psych_AND_SO_F","Psych_AND_SO_M","Psych_NO_SO","Psych_NO_SO_F","Psych_NO_SO_M","Benz","Benz_F","Benz_M","Benz_AND_O","Benz_AND_O_F","Benz_AND_O_M","Benz_NO_O","Benz_NO_O_F","Benz_NO_O_M","Benz_AND_SO","Benz_AND_SO_F","Benz_AND_SO_M","Benz_NO_SO","Benz_NO_SO_F","Benz_NO_SO_M","Anti","Anti_F","Anti_M","Anti_AND_O","Anti_AND_O_F","Anti_AND_O_M","Anti_NO_O","Anti_NO_O_F","Anti_NO_O_M","Anti_AND_SO","Anti_AND_SO_F","Anti_AND_SO_M","Anti_NO_SO","Anti_NO_SO_F","Anti_NO_SO_M"
"Number of National Drug Overdose Deaths Involving Select Prescription and Illicit Drugs","1999","16849","5591","11258","8050","2057","5993","3442","1022","2420","142","65","77","3300","957","2343","730","330","400","1960","306","1654","15","4","11","1945","302","1643","3822","850","2972","1964","399","1565","1858","451","1407","47","13","34","3775","837","2938","547","158","389","187","46","141","360","112","248","11","3","8","536","155","381","1135","420","715","701","233","468","434","187","247","122","51","71","1013","369","644","1749","926","823","611","312","299","1138","614","524","122","61","61","1627","865","762"
"...3"," 2000","17415"," 5852","11563"," 8407"," 2264"," 6143"," 3785"," 1236"," 2549","  167","   76","   91"," 3618"," 1160"," 2458","  782","  374","  408"," 1842","  279"," 1563","   18","    7","   11"," 1824","  272"," 1552"," 3544","  843"," 2701"," 1834","  387"," 1447"," 1710","  456"," 1254","   46","   13","   33"," 3498","  830"," 2668","  578","  164","  414","  202","   49","  153","  376","  115","  261","    7","    3","    4","  571","  161","  410"," 1298","  480","  818","  892","  310","  582","  406","  170","  236","  136","   55","   81"," 1162","  425","  737"," 1798","  984","  814","  679","  387","  292"," 1119","  597","  522","  123","   77","   46"," 1675","  907","  768"
"...4"," 2001","19394"," 6736","12658"," 9496"," 2767"," 6729"," 4770"," 1608"," 3162","  199","   86","  113"," 4571"," 1522"," 3049","  957","  447","  510"," 1779","  313"," 1466","   15","    4","   11"," 1764","  309"," 1455"," 3833","  957"," 2876"," 1886","  453"," 1433"," 1947","  504"," 1443","   75","   25","   50"," 3758","  932"," 2826","  563","  152","  411","  164","   42","  122","  399","  110","  289","    6","    3","    3","  557","  149","  408"," 1594","  614","  980"," 1121","  411","  710","  473","  203","  270","  186","   83","  103"," 1408","  531","  877"," 2017"," 1009"," 1008","  890","  426","  464"," 1127","  583","  544","  147","   79","   68"," 1870","  930","  940"
"...5"," 2002","23518"," 8490","15028","11920"," 3760"," 8160"," 6483"," 2304"," 4179","  322","  157","  165"," 6161"," 2147"," 4014"," 1295","  614","  681"," 2089","  359"," 1730","   15","    5","   10"," 2074","  354"," 1720"," 4599"," 1143"," 3456"," 2318","  560"," 1758"," 2281","  583"," 1698","   65","   19","   46"," 4534"," 1124"," 3410","  941","  285","  656","  325","  114","  211","  616","  171","  445","   19","   12","    7","  922","  273","  649"," 2022","  763"," 1259"," 1511","  553","  958","  511","  210","  301","  230","  107","  123"," 1792","  656"," 1136"," 2370"," 1318"," 1052"," 1148","  634","  514"," 1222","  684","  538","  238","  154","   84"," 2132"," 1164","  968"
"...6"," 2003","25785"," 9386","16399","12940"," 4138"," 8802"," 7461"," 2681"," 4780","  344","  151","  193"," 7117"," 2530"," 4587"," 1400","  643","  757"," 2080","  358"," 1722","   16","    3","   13"," 2064","  355"," 1709"," 5199"," 1322"," 3877"," 2456","  603"," 1853"," 2743","  719"," 2024","  109","   44","   65"," 5090"," 1278"," 3812"," 1179","  353","  826","  359","  119","  240","  820","  234","  586","   28","   14","   14"," 1151","  339","  812"," 2248","  885"," 1363"," 1692","  620"," 1072","  556","  265","  291","  242","  105","  137"," 2006","  780"," 1226"," 2512"," 1384"," 1128"," 1234","  692","  542"," 1278","  692","  586","  230","  139","   91"," 2282"," 1245"," 1037"
"...7"," 2004","27424","10304","17120","13756"," 4643"," 9113"," 8577"," 3144"," 5433","  384","  184","  200"," 8193"," 2960"," 5233"," 1664","  798","  866"," 1878","  341"," 1537","   13","    6","    7"," 1865","  335"," 1530"," 5443"," 1405"," 4038"," 2522","  634"," 1888"," 2921","  771"," 2150","  130","   41","   89"," 5313"," 1364"," 3949"," 1305","  393","  912","  407","  128","  279","  898","  265","  633","   29","   12","   17"," 1276","  381","  895"," 2627"," 1079"," 1548"," 2049","  797"," 1252","  578","  282","  296","  270","  128","  142"," 2357","  951"," 1406"," 2758"," 1549"," 1209"," 1379","  762","  617"," 1379","  787","  592","  264","  164","  100"," 2494"," 1385"," 1109"
"...8"," 2005","29813","11089","18724","14918"," 5161"," 9757"," 9612"," 3572"," 6040","  426","  207","  219"," 9186"," 3365"," 5821"," 1742","  823","  919"," 2009","  389"," 1620","   34","    9","   25"," 1975","  380"," 1595"," 6208"," 1620"," 4588"," 2842","  737"," 2105"," 3366","  883"," 2483","  174","   62","  112"," 6034"," 1558"," 4476"," 1608","  438"," 1170","  476","  145","  331"," 1132","  293","  839","   33","   13","   20"," 1575","  425"," 1150"," 3084"," 1209"," 1875"," 2430","  922"," 1508","  654","  287","  367","  312","  150","  162"," 2772"," 1059"," 1713"," 2861"," 1575"," 1286"," 1508","  806","  702"," 1353","  769","  584","  278","  159","  119"," 2583"," 1416"," 1167"
"...9"," 2006","34425","12532","21893","17545"," 5945","11600","11589"," 4274"," 7315","  573","  246","  327","11016"," 4028"," 6988"," 2707"," 1030"," 1677"," 2088","  344"," 1744","  113","   25","   88"," 1975","  319"," 1656"," 7448"," 1860"," 5588"," 3372","  845"," 2527"," 4076"," 1015"," 3061","  432","  109","  323"," 7016"," 1751"," 5265"," 1462","  411"," 1051","  526","  170","  356","  936","  241","  695","   37","   16","   21"," 1425","  395"," 1030"," 3835"," 1472"," 2363"," 3045"," 1137"," 1908","  790","  335","  455","  407","  165","  242"," 3428"," 1307"," 2121"," 3133"," 1819"," 1314"," 1662","  946","  716"," 1471","  873","  598","  300","  176","  124"," 2833"," 1643"," 1190"
"...10"," 2007","36010","13712","22298","18516"," 6581","11935","12796"," 4863"," 7933","  601","  286","  315","12195"," 4577"," 7618"," 2213"," 1053"," 1160"," 2399","  399"," 2000","   13","    3","   10"," 2386","  396"," 1990"," 6512"," 1665"," 4847"," 3027","  784"," 2243"," 3485","  881"," 2604","  219","   63","  156"," 6293"," 1602"," 4691"," 1378","  409","  969","  473","  150","  323","  905","  259","  646","   35","   17","   18"," 1343","  392","  951"," 4500"," 1894"," 2606"," 3605"," 1473"," 2132","  895","  421","  474","  436","  224","  212"," 4064"," 1670"," 2394"," 3425"," 1958"," 1467"," 1901"," 1094","  807"," 1524","  864","  660","  292","  203","   89"," 3133"," 1755"," 1378"
"...11"," 2008","36450","13982","22468","19582"," 6819","12763","13149"," 4959"," 8190","  655","  309","  346","12494"," 4650"," 7844"," 2306"," 1083"," 1223"," 3041","  551"," 2490","   28","   13","   15"," 3013","  538"," 2475"," 5129"," 1322"," 3807"," 2656","  695"," 1961"," 2473","  627"," 1846","  182","   59","  123"," 4947"," 1263"," 3684"," 1302","  375","  927","  495","  151","  344","  807","  224","  583","   47","   19","   28"," 1255","  356","  899"," 5010"," 2046"," 2964"," 4070"," 1618"," 2452","  940","  428","  512","  491","  250","  241"," 4519"," 1796"," 2723"," 3610"," 2047"," 1563"," 2111"," 1199","  912"," 1499","  848","  651","  384","  248","  136"," 3226"," 1799"," 1427"
