"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - Drug/Alcohol Induced Cause"	"MCD - Drug/Alcohol Induced Cause Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	65	2293259	2.8
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	78	2136882	3.7
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	17	2293259	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	20	2136882	0.9
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	10	2293259	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"All other drug-induced causes"	"D9"	"Female"	"F"	54	2293259	2.4
	"Alabama"	"01"	"1999"	"1999"	"All other drug-induced causes"	"D9"	"Male"	"M"	94	2136882	4.4
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	69	2300596	3.0
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	90	2146504	4.2
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	27	2300596	1.2
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	20	2146504	0.9
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	10	2300596	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	10	2146504	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"All other drug-induced causes"	"D9"	"Female"	"F"	95	2300596	4.1
	"Alabama"	"01"	"2000"	"2000"	"All other drug-induced causes"	"D9"	"Male"	"M"	162	2146504	7.5
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	88	2309496	3.8
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	120	2158138	5.6
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	23	2309496	1.0
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	15	2158138	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"All other drug-induced causes"	"D9"	"Female"	"F"	90	2309496	3.9
	"Alabama"	"01"	"2001"	"2001"	"All other drug-induced causes"	"D9"	"Male"	"M"	209	2158138	9.7
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	80	2314370	3.5
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	121	2165719	5.6
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	18	2314370	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	10	2165719	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"All other drug-induced causes"	"D9"	"Female"	"F"	99	2314370	4.3
	"Alabama"	"01"	"2002"	"2002"	"All other drug-induced causes"	"D9"	"Male"	"M"	170	2165719	7.8
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Female"	"F"	76	2324069	3.3
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"Male"	"M"	114	2179422	5.2
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Female"	"F"	10	2324069	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"Male"	"M"	12	2179422	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Female"	"F"	10	2324069	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"Male"	"M"	13	2179422	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"All other drug-induced causes"	"D9"	"Female"	"F"	116	2324069	5.0
