"","Year","State","MCD...Drug.Alcohol.Induced.Cause.Code","Cause","Gender","Deaths","Population","Crude.Rate"
"1",1999,"Alabama","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",65,2293259,"2.8"
"2",1999,"Alabama","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",78,2136882,"3.7"
"3",1999,"Alabama","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",17,2293259,"Unreliable"
"4",1999,"Alabama","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",20,2136882,"0.9"
"5",1999,"Alabama","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",10,2293259,"Unreliable"
"6",1999,"Alaska","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",15,301266,"Unreliable"
"7",1999,"Alaska","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",18,323513,"Unreliable"
"8",1999,"Alaska","D2",NA,NA,0,NA,NA
"9",1999,"Alaska","D4",NA,NA,0,NA,NA
"10",1999,"Arizona","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",85,2518299,"3.4"
"11",1999,"Arizona","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",322,2505524,"12.9"
"12",1999,"Arizona","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",55,2518299,"2.2"
"13",1999,"Arizona","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",64,2505524,"2.6"
"14",1999,"Arizona","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",19,2518299,"Unreliable"
"15",1999,"Arizona","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",20,2505524,"0.8"
"16",1999,"Arkansas","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",17,1359445,"Unreliable"
"17",1999,"Arkansas","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",23,1292415,"1.8"
"18",1999,"Arkansas","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",19,1359445,"Unreliable"
"19",1999,"Arkansas","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",14,1292415,"Unreliable"
"20",1999,"Arkansas","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",23,1359445,"1.7"
"21",1999,"Arkansas","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",35,1292415,"2.7"
"22",1999,"California","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",729,16800161,"4.3"
"23",1999,"California","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",1897,16699043,"11.4"
"24",1999,"California","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",219,16800161,"1.3"
"25",1999,"California","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",212,16699043,"1.3"
"26",1999,"California","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",50,16800161,"0.3"
"27",1999,"California","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",60,16699043,"0.4"
"28",1999,"Colorado","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",60,2101358,"2.9"
"29",1999,"Colorado","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",152,2124660,"7.2"
"30",1999,"Colorado","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",47,2101358,"2.2"
"31",1999,"Colorado","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",38,2124660,"1.8"
"32",1999,"Colorado","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",34,2101358,"1.6"
"33",1999,"Colorado","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",53,2124660,"2.5"
"34",1999,"Connecticut","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",62,1747148,"3.5"
"35",1999,"Connecticut","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",186,1639253,"11.3"
"36",1999,"Connecticut","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",21,1747148,"1.2"
"37",1999,"Connecticut","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",27,1639253,"1.6"
"38",1999,"Connecticut","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",17,1747148,"Unreliable"
"39",1999,"Connecticut","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",24,1639253,"1.5"
"40",1999,"Delaware","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",13,398732,"Unreliable"
"41",1999,"Delaware","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",35,376258,"9.3"
"42",1999,"Delaware","D2",NA,NA,0,NA,NA
"43",1999,"Delaware","D4",NA,NA,0,NA,NA
"44",1999,"District of Columbia","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",47,268416,"17.5"
"45",1999,"District of Columbia","D2",NA,NA,0,NA,NA
"46",1999,"District of Columbia","D4",NA,NA,0,NA,NA
"47",1999,"Florida","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",241,8073847,"3.0"
"48",1999,"Florida","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",515,7685574,"6.7"
"49",1999,"Florida","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",140,8073847,"1.7"
"50",1999,"Florida","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",136,7685574,"1.8"
"51",1999,"Florida","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",23,8073847,"0.3"
"52",1999,"Florida","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",30,7685574,"0.4"
"53",1999,"Georgia","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",86,4096031,"2.1"
"54",1999,"Georgia","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",176,3949934,"4.5"
"55",1999,"Georgia","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",33,4096031,"0.8"
"56",1999,"Georgia","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",18,3949934,"Unreliable"
"57",1999,"Georgia","D4",NA,NA,0,NA,NA
"58",1999,"Hawaii","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",10,601830,"Unreliable"
"59",1999,"Hawaii","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",30,608470,"4.9"
"60",1999,"Hawaii","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",10,608470,"Unreliable"
"61",1999,"Hawaii","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",21,608470,"3.5"
"62",1999,"Idaho","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",15,636798,"Unreliable"
"63",1999,"Idaho","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",26,638876,"4.1"
"64",1999,"Idaho","D2",NA,NA,0,NA,NA
"65",1999,"Idaho","D4",NA,NA,0,NA,NA
"66",1999,"Illinois","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",216,6313350,"3.4"
"67",1999,"Illinois","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",671,6045670,"11.1"
"68",1999,"Illinois","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",57,6313350,"0.9"
"69",1999,"Illinois","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",45,6045670,"0.7"
"70",1999,"Illinois","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",12,6313350,"Unreliable"
"71",1999,"Illinois","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",21,6045670,"0.3"
"72",1999,"Indiana","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",37,3083351,"1.2"
"73",1999,"Indiana","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",88,2961618,"3.0"
"74",1999,"Indiana","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",26,3083351,"0.8"
"75",1999,"Indiana","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",26,2961618,"0.9"
"76",1999,"Indiana","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",18,3083351,"Unreliable"
"77",1999,"Indiana","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",26,2961618,"0.9"
"78",1999,"Iowa","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",11,1488223,"Unreliable"
"79",1999,"Iowa","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",23,1429411,"1.6"
"80",1999,"Iowa","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",12,1488223,"Unreliable"
"81",1999,"Iowa","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",10,1429411,"Unreliable"
"82",1999,"Iowa","D4",NA,NA,0,NA,NA
"83",1999,"Kansas","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",23,1356044,"1.7"
"84",1999,"Kansas","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",42,1322294,"3.2"
"85",1999,"Kansas","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",13,1356044,"Unreliable"
"86",1999,"Kansas","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",12,1322294,"Unreliable"
"87",1999,"Kansas","D4",NA,NA,0,NA,NA
"88",1999,"Kentucky","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",61,2056401,"3.0"
"89",1999,"Kentucky","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",118,1961652,"6.0"
"90",1999,"Kentucky","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",17,2056401,"Unreliable"
"91",1999,"Kentucky","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",12,1961652,"Unreliable"
"92",1999,"Kentucky","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",11,1961652,"Unreliable"
"93",1999,"Louisiana","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",42,2302744,"1.8"
"94",1999,"Louisiana","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",109,2158067,"5.1"
"95",1999,"Louisiana","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",23,2302744,"1.0"
"96",1999,"Louisiana","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",14,2158067,"Unreliable"
"97",1999,"Louisiana","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Female",14,2302744,"Unreliable"
"98",1999,"Louisiana","D4","Drug poisonings (overdose) Undetermined (Y10-Y14)","Male",18,2158067,"Unreliable"
"99",1999,"Maine","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Female",15,650598,"Unreliable"
"100",1999,"Maine","D1","Drug poisonings (overdose) Unintentional (X40-X44)","Male",31,616210,"5.0"
"101",1999,"Maine","D2","Drug poisonings (overdose) Suicide (X60-X64)","Female",19,650598,"Unreliable"
"102",1999,"Maine","D2","Drug poisonings (overdose) Suicide (X60-X64)","Male",16,616210,"Unreliable"
"103",1999,"Maine","D4",NA,NA,0,NA,NA
